Area_SqFt,Rooms,Build_Year,Location,Street_Type,Furnishing,Property_Type,Has_Pool,Price,Property_Age,Price_per_SqFt
2473.192784,4.0,1992,Jaipur,Residential Lane,Furnished,Apartment,0,568486.0,32,229.85915359196682
2353.472711,4.0,2006,Indore,Corner Plot,Unfurnished,Apartment,1,577214.0,18,245.2605451094181
2212.222005,3.0,2012,Jaipur,Highway Facing,Semi-Furnished,Duplex,0,581300.0,12,262.76747934256264
2823.886596,6.0,1993,Lucknow,Main Road,Unfurnished,Villa,1,794614.0,31,281.39019503317195
1869.648721,5.0,2012,Jaipur,Corner Plot,Semi-Furnished,Apartment,0,493086.0,12,263.7318949071182
2073.80225,5.0,1986,Kanpur,Residential Lane,Semi-Furnished,Apartment,0,470693.0,38,226.97101423243222
2103.042886,3.0,2020,Indore,Corner Plot,Semi-Furnished,Apartment,0,552164.0,4,262.55479794338345
4316.818615,6.0,2008,Lucknow,Corner Plot,Semi-Furnished,Apartment,0,988286.819,16,228.93869470584647
2520.167537,4.0,2019,Prayagraj,Residential Lane,Semi-Furnished,Apartment,0,583210.0,5,231.4171543905575
2382.194887,3.0,2017,Jaipur,Gated Society,Semi-Furnished,Independent House,1,694155.0,7,291.3930358041273
2160.394433,6.0,1998,Prayagraj,Residential Lane,Furnished,Apartment,0,552135.0,26,255.57138620899232
2117.206378,4.0,2016,Lucknow,Gated Society,Semi-Furnished,Duplex,0,608117.0,8,287.226132661877
1906.07095,4.0,2013,Indore,Highway Facing,Semi-Furnished,Duplex,1,551382.0,11,289.2767449186506
1393.167663,6.0,1990,Lucknow,Corner Plot,Semi-Furnished,Duplex,0,480838.0,34,345.1400809609518
1774.276388,2.0,2023,Delhi,Main Road,Semi-Furnished,Apartment,0,516094.0,1,290.8757640526071
1457.835515,7.0,1992,Kanpur,Gated Society,Semi-Furnished,Apartment,0,423867.0,32,290.7509082051688
1833.666659,2.0,1996,Noida,Highway Facing,Furnished,Apartment,0,461212.0,28,251.52445115162013
2256.291225,3.0,2012,Prayagraj,Main Road,Semi-Furnished,Independent House,1,594145.0,12,263.3281525969681
825.6824721,7.0,2016,Jaipur,Highway Facing,Semi-Furnished,Apartment,0,373669.0,8,452.5577478345019
2124.489948,3.0,1990,Jaipur,Main Road,Furnished,Independent House,0,587632.0,34,276.5990964340397
2634.320043,5.0,2020,Gurugram,Highway Facing,Furnished,Apartment,1,759944.0,4,288.47823635527794
2121.095774,3.0,2024,Lucknow,Main Road,Furnished,Duplex,1,670503.0,0,316.11160996071084
2201.545784,5.0,2000,Delhi,Corner Plot,Semi-Furnished,Apartment,0,585692.0,24,266.0367112310756
